date,services,abbrev,time,filename_each,streetlevel_airtemp_c,turnstile_level_airtemp_c
071124,7,42,M,"FLIR071124742M01, FLIR071124742M02, FLIR071124742M03, FLIR071124742M04",30.2,31.3
072924,7,34,A,"FLIR072924734A01, FLIR072924734A02, FLIR072924734A03",28.9,27.8
072924,7,42,A,"FLIR072924742A01, FLIR072924742A02, FLIR072924742A03",30.4,30.7
073024,7,34,A,"FLIR073024734A01, FLIR073024734A02, FLIR073024734A03",29.8,29.1
073024,7,42,A,"FLIR073024742A01, FLIR073024742A02, FLIR073024742A03",31.0,30.9
073124,7,34,A,"FLIR073124734A01, FLIR073124734A02, FLIR073124734A03",30.7,31.0
073124,7,42,A,"FLIR073124742A01, FLIR073124742A02, FLIR073124742A03",31.9,
080124,7,34,A,"FLIR080124734A01, FLIR080124734A02, FLIR080124734A03",29.8,30.6
080124,7,42,A,"FLIR080124742A01, FLIR080124742A02, FLIR080124742A03",31.8,31.4
070824,23,WS,A,"FLIR07082423WSA01, FLIR07082423WSA02, FLIR07082423WSA03, FLIR07082423WSA04, FLIR07082423WSA05, FLIR07082423WSA06, FLIR07082423WSA07, FLIR07082423WSA08",33.6,
070924,23,WS,A,"FLIR07092423WSA01, FLIR07092423WSA02, FLIR07092423WSA03, FLIR07092423WSA04, FLIR07092423WSA05",33.8,
071024,23,WS,A,"FLIR07102423WSA01, FLIR07102423WSA02, FLIR07102423WSA03",34.1,
071524,23,WS,A,"FLIR07152423WSA01, FLIR07152423WSA02, FLIR07152423WSA03",33.9,
071624,23,WS,A,"FLIR07162423WSA01, FLIR07162423WSA02, FLIR07162423WSA03, FLIR07162423WSA04, FLIR07162423WSA05, FLIR07162423WSA06",33.9,
071724,23,WS,A,"FLIR07172423WSA01, FLIR07172423WSA02, FLIR07172423WSA03, FLIR07172423WSA04, FLIR07172423WSA05, FLIR07172423WSA06",33.9,
072424,23,WS,A,"FLIR07242423WSA01, FLIR07242423WSA02, FLIR07242423WSA03, FLIR07242423WSA04",32.9,
072524,23,WS,A,"FLIR07252423WSA01, FLIR07252423WSA02, FLIR07252423WSA03, FLIR07252423WSA04, FLIR07252423WSA05, FLIR07252423WSA06",33.0,
071124,23,WS,A,"FLIR07112423WSA01, FLIR07112423WSA02, FLIR07112423WSA03",30.4,33.6
072924,23,WS,A,"FLIR07292423WSA01, FLIR07292423WSA02, FLIR07292423WSA03",33.0,
073024,23,WS,A,"FLIR07302423WSA01, FLIR07302423WSA02, FLIR07302423WSA03",32.5,32.6
073124,23,WS,A,"FLIR07312423WSA01, FLIR07312423WSA02, FLIR07312423WSA03",31.1,
080124,23,WS,A,"FLIR08012423WSA01, FLIR08012423WSA02, FLIR08012423WSA03",31.5,33.3
070824,45,BG,A,"FLIR07082445BGA01, FLIR07082445BGA02, FLIR07082445BGA03, FLIR07082445BGA04, FLIR07082445BGA05",32.8,
070924,45,BG,A,"FLIR07092445BGA01, FLIR07092445BGA02, FLIR07092445BGA03, FLIR07092445BGA04, FLIR07092445BGA05, FLIR07092445BGA06",33.7,
071024,45,BG,A,"FLIR07102445BGA01, FLIR07102445BGA02, FLIR07102445BGA03, FLIR07102445BGA04",33.8,
071524,45,BG,A,"FLIR07152445BGA01, FLIR07152445BGA02, FLIR07152445BGA03, FLIR07152445BGA04",33.4,
071624,45,BG,A,"FLIR07162445BGA01, FLIR07162445BGA02, FLIR07162445BGA03, FLIR07162445BGA04, FLIR07162445BGA05, FLIR07162445BGA06",34.1,
